feature,Bin,WoE,Event rate,Count (%),Feature IV,feature_coeff_model,score_points,rare_categories,feature_type
IP_WORST_DPD_720D,"(-0.001, 1.0]",0.070145,0.07567422514423722,0.21207033917596177,0.0911862648629499,-0.4049707693056778,0.8196433718448944,,numerical
IP_WORST_DPD_720D,"(1.0, 3.0]",-0.153614,0.09288832403160745,0.07356264836915873,0.0911862648629499,-0.4049707693056778,-1.7949775026385575,,numerical
IP_WORST_DPD_720D,"(3.0, 7.0]",-0.278114,0.10392374196408778,0.09168401027608858,0.0911862648629499,-0.4049707693056778,-3.249758310888459,,numerical
IP_WORST_DPD_720D,"(7.0, 705.0]",-0.728257,0.15391426636804,0.07804217749016293,0.0911862648629499,-0.4049707693056778,-8.509673149185934,,numerical
IP_WORST_DPD_720D,SPECIAL_-66666,0.18163323800740327,0.06823549437222069,0.19104663262983318,0.0911862648629499,-0.4049707693056778,2.1223819180197343,,numerical
IP_WORST_DPD_720D,SPECIAL_-99999,0.2203539595918986,0.06581443204156943,0.35359419205879483,0.0911862648629499,-0.4049707693056778,2.5748330235836825,,numerical
IP_RATIO_LATE_PAYMENTS_2160D,"(-0.001, 0.0241]",0.21805141355667443,0.0659561408403549,0.5099305713635329,0.0725763358834479,-0.4689065469621526,2.9501883080150257,,numerical
IP_RATIO_LATE_PAYMENTS_2160D,"(0.0241, 0.0778]",0.001144,0.08064421840289956,0.13906864817404313,0.0725763358834479,-0.4689065469621526,0.015478071750688186,,numerical
IP_RATIO_LATE_PAYMENTS_2160D,"(0.0778, 0.135]",-0.215248,0.09821350380944041,0.09283437936977659,0.0725763358834479,-0.4689065469621526,-2.912258730937177,,numerical
IP_RATIO_LATE_PAYMENTS_2160D,"(0.135, 0.231]",-0.318651,0.10775974307785782,0.09366362069526195,0.0725763358834479,-0.4689065469621526,-4.311278882367605,,numerical
IP_RATIO_LATE_PAYMENTS_2160D,"(0.231, 1.0]",-0.515885,0.12824156305506218,0.09154173848004943,0.0725763358834479,-0.4689065469621526,-6.979812102363439,,numerical
IP_RATIO_LATE_PAYMENTS_2160D,SPECIAL_-99999,0.19198346434069702,0.06758036659423923,0.07296104191733602,0.0725763358834479,-0.4689065469621526,2.5974946118977233,,numerical
IP_NUM_COMPLETED_LOANS,"(-0.001, 1.0]",-0.221884190913024,0.09880283156360609,0.39047510650060163,0.0448024240656658,-0.4365863689405417,-2.795123920370599,,numerical
IP_NUM_COMPLETED_LOANS,"(1.0, 2.0]",0.04735679244188146,0.07728369767159203,0.23411027283665573,0.0448024240656658,-0.4365863689405417,0.5965639228358329,,numerical
IP_NUM_COMPLETED_LOANS,"(2.0, 3.0]",0.15481825981701217,0.06996024025040183,0.1441538486553283,0.0448024240656658,-0.4365863689405417,1.950279646080367,,numerical
IP_NUM_COMPLETED_LOANS,"(3.0, 4.0]",0.2711103530178758,0.0627617123996256,0.08251357679425059,0.0448024240656658,-0.4365863689405417,3.415236703715524,,numerical
IP_NUM_COMPLETED_LOANS,"(4.0, 26.0]",0.341841,0.05872756933115824,0.09717976651165816,0.0448024240656658,-0.4365863689405417,4.306246209482973,,numerical
IP_NUM_COMPLETED_LOANS,SPECIAL_-99999,0.32207624560313697,0.059829733564559354,0.051567428701505644,0.0448024240656658,-0.4365863689405417,4.057265254293708,,numerical
PA_AVG_AMT_ANNUITY_POS,"(579.779, 3436.335]",-0.357618,0.11156402303943287,0.04587249195148125,0.036943410528995,-0.5967900714871509,-6.158082374732664,,numerical
PA_AVG_AMT_ANNUITY_POS,"(3436.335, 5434.404]",-0.219364,0.09857864720309684,0.1375605671360281,0.036943410528995,-0.5967900714871509,-3.7773869940854663,,numerical
PA_AVG_AMT_ANNUITY_POS,"(5434.404, 7588.189]",-0.075512,0.08651331826441519,0.18343305908750934,0.036943410528995,-0.5967900714871509,-1.3002956123036675,,numerical
PA_AVG_AMT_ANNUITY_POS,"(7588.189, 8817.594]",-0.044841,0.08412001950095288,0.09171652954375467,0.036943410528995,-0.5967900714871509,-0.77214953320411,,numerical
PA_AVG_AMT_ANNUITY_POS,"(8817.594, 12110.925]",0.074843,0.07534626038781163,0.1834289941790511,0.036943410528995,-0.5967900714871509,1.2887756185989432,,numerical
PA_AVG_AMT_ANNUITY_POS,"(12110.925, 17434.324]",0.193982,0.06745457231496528,0.13757682676986113,0.036943410528995,-0.5967900714871509,3.3403160221672055,,numerical
PA_AVG_AMT_ANNUITY_POS,"(17434.324, 393868.66]",0.432862,0.0538935425253734,0.09171652954375467,0.036943410528995,-0.5967900714871509,7.45376310166583,,numerical
PA_AVG_AMT_ANNUITY_POS,SPECIAL_-99999,-0.00344982495363795,0.08098547062539482,0.12869500178855972,0.036943410528995,-0.5967900714871509,-0.05940502503484386,,numerical
PA_RATIO_CREDIT_APPLICATION_POS,"(0.0906, 0.9]",0.244375,0.064352856109906,0.19114012552437318,0.0430795441077549,-0.4306741771573193,3.03675770441132,,numerical
PA_RATIO_CREDIT_APPLICATION_POS,"(0.9, 0.944]",0.157785,0.06976744186046512,0.08407450164222302,0.0430795441077549,-0.4306741771573193,1.9607358133628243,,numerical
PA_RATIO_CREDIT_APPLICATION_POS,"(0.944, 1.022]",0.061267,0.07629759100235581,0.32094078241358004,0.0430795441077549,-0.4306741771573193,0.7613423397490264,,numerical
PA_RATIO_CREDIT_APPLICATION_POS,"(1.022, 1.059]",-0.037918,0.0835881753312946,0.09171652954375467,0.0430795441077549,-0.4306741771573193,-0.47119295605470457,,numerical
PA_RATIO_CREDIT_APPLICATION_POS,"(1.059, 1.106]",-0.176946,0.09487304471130412,0.09173278917758772,0.0430795441077549,-0.4306741771573193,-2.198842470648656,,numerical
PA_RATIO_CREDIT_APPLICATION_POS,"(1.106, 1.552]",-0.46867,0.12305509996010461,0.09170026990992163,0.0430795441077549,-0.4306741771573193,-5.823988678573722,,numerical
PA_RATIO_CREDIT_APPLICATION_POS,SPECIAL_-99999,-0.00344982495363795,0.08098547062539482,0.12869500178855972,0.0430795441077549,-0.4306741771573193,-0.042869698237669444,,numerical
PA_RATIO_CREDIT_APPLICATION_Cash,"(0.999, 1.069]",0.281963,0.06212637577518297,0.1455155929888459,0.0456976975651897,-0.3456681288786244,2.8122634083072486,,numerical
PA_RATIO_CREDIT_APPLICATION_Cash,"(1.069, 1.12]",0.104962,0.07327456172694667,0.12126841403531592,0.0456976975651897,-0.3456681288786244,1.0468777529773248,,numerical
PA_RATIO_CREDIT_APPLICATION_Cash,"(1.12, 1.152]",-0.107318,0.08906023019331769,0.07275373158596468,0.0456976975651897,-0.3456681288786244,-1.070376199901112,,numerical
PA_RATIO_CREDIT_APPLICATION_Cash,"(1.152, 1.205]",-0.272561,0.10340782122905028,0.07276186140288121,0.0456976975651897,-0.3456681288786244,-2.718489045838042,,numerical
PA_RATIO_CREDIT_APPLICATION_Cash,"(1.205, 1.66]",-0.477731,0.124036205162588,0.07275373158596468,0.0456976975651897,-0.3456681288786244,-4.7648287552410435,,numerical
PA_RATIO_CREDIT_APPLICATION_Cash,SPECIAL_-99999,0.0479520561849303,0.07724125954168344,0.5149466684010277,0.0456976975651897,-0.3456681288786244,0.4782677619473929,,numerical
PA_RATIO_APPROVED_LOANS,"(-0.001, 0.4]",-0.731336,0.15431567415290712,0.051945465188123964,0.0785723752441566,-0.2699094577024559,-5.695601416103923,,numerical
